word,translation,word_example,trans_example
밀다,to push,문이 잘 안 열려서 조금 더 세게 밀었어요.,The door wouldn’t open well so I pushed it harder.
당기다,to pull,문을 당겨야 하는데 계속 밀고 있어서 안 열렸어요.,I kept pushing the door even though I had to pull it.
열심히,hard/diligently,목표를 이루기 위해 매일 열심히 노력하고 있습니다.,I work hard every day to achieve my goals.
빨리,quickly,약속 시간에 늦을까 봐 서둘러서 빨리 갔어요.,I hurried and went quickly because I might be late.
천천히,slowly,시간이 있어서 천천히 걸으면서 주변을 구경했어요.,I had time so I walked slowly and looked around.
항상,always,그는 항상 긍정적인 태도로 일을 합니다.,He always works with a positive attitude.
가끔,sometimes,가끔 혼자 여행을 가는 것도 좋은 경험입니다.,Sometimes traveling alone is a good experience.
자주,often,요즘은 일이 많아서 친구들을 자주 못 만나요.,These days I can’t meet friends often because I’m busy.
거의,almost,준비가 거의 다 끝나서 곧 출발할 수 있어요.,Preparation is almost done so we can leave soon.
다시,again,틀린 부분을 다시 확인하고 고쳤어요.,I checked the wrong parts again and fixed them.
처음,first time,그곳에는 처음 가봤는데 생각보다 좋았어요.,It was my first time going there and it was better than expected.
마지막,last,이번이 마지막 기회라서 최선을 다하려고 합니다.,This is the last chance so I will do my best.
지금,now,지금은 바빠서 나중에 이야기하는 게 좋을 것 같아요.,I am busy now so it would be better to talk later.
곧,soon,회의가 곧 시작될 예정이니 자리에 앉아 주세요.,The meeting will start soon so please take your seat.
이미,already,그 일은 이미 끝났으니 걱정하지 않아도 됩니다.,That work is already finished so you don’t need to worry.
아직,yet,아직 결정하지 못해서 조금 더 생각해 보려고 합니다.,I haven’t decided yet so I will think more.
여기,here,여기에 앉으면 창밖 풍경이 잘 보입니다.,If you sit here you can see the view outside well.
거기,there,거기에 두면 찾기 쉬울 거예요.,If you put it there it will be easy to find.
저기,over there,저기에 있는 건물이 제가 일하는 회사입니다.,The building over there is the company I work at.
이것,this,이것은 제가 어제 산 책입니다.,This is the book I bought yesterday.
그것,that,그것은 생각보다 훨씬 비쌌어요.,That was much more expensive than I thought.
저것,that over there,저것은 제가 찾고 있던 물건입니다.,That over there is the item I was looking for.
누구,who,방금 저 사람은 누구인지 궁금합니다.,I wonder who that person was just now.
무엇,what,지금 무엇을 해야 할지 잘 모르겠어요.,I’m not sure what I should do now.
언제,when,다음 회의는 언제 하는 것이 좋을까요?,When would be a good time for the next meeting?
어디,where,주말에 어디에 가는 것이 좋을지 고민 중이에요.,I am thinking about where to go on the weekend.
왜,why,왜 그런 선택을 했는지 이유를 듣고 싶어요.,I want to hear why you made that choice.
어떻게,how,이 문제를 어떻게 해결할 수 있을지 함께 생각해 봅시다.,Let’s think about how to solve this problem together.
얼마,how much,이 가방은 얼마인지 물어봤는데 생각보다 비쌌어요.,I asked how much this bag was and it was more expensive than expected.
몇,how many,회의에 몇 명이 참석하는지 아직 모르겠습니다.,I don’t know yet how many people will attend the meeting.
같다,to be same/seem,두 제품이 비슷해 보여서 거의 같은 것 같습니다.,The two products look similar so they seem almost the same.
다르다,to be different,두 사람의 의견이 많이 달라서 결론을 내기 어려웠어요.,Their opinions were very different so it was hard to decide.
새롭다,to be new,새로운 환경에 적응하는 데 시간이 조금 필요했습니다.,It took some time to adjust to the new environment.
오래되다,to be old,이 건물은 오래되었지만 아직도 잘 사용되고 있습니다.,This building is old but still in good use.
젊다,to be young,그는 나이는 어리지만 생각이 매우 성숙합니다.,He is young but very mature in thought.
늙다,to be old (person),나이가 들수록 건강 관리가 더 중요해집니다.,As you get older health management becomes more important.
길다,to be long,회의 시간이 너무 길어서 집중하기가 어려웠어요.,The meeting was too long so it was hard to focus.
짧다,to be short,시간이 짧아서 중요한 내용만 간단히 이야기했습니다.,Time was short so we only discussed the important points briefly.
높다,to be high,이 산은 높지만 정상에서 보는 경치가 정말 아름답습니다.,This mountain is high but the view from the top is beautiful.
낮다,to be low,오늘은 기온이 낮아서 따뜻하게 입어야 합니다.,The temperature is low today so you should dress warmly.
빠르다,to be fast,인터넷 속도가 빨라서 작업을 효율적으로 할 수 있어요.,The internet speed is fast so I can work efficiently.
느리다,to be slow,컴퓨터가 느려서 일을 하는 데 시간이 오래 걸립니다.,The computer is slow so work takes a long time.
쉽다,to be easy,설명이 자세해서 이해하기가 쉬웠어요.,The explanation was detailed so it was easy to understand.
어렵다,to be difficult,이 문제는 생각보다 어려워서 시간이 많이 걸렸어요.,This problem was harder than expected so it took a lot of time.
덥다,to be hot (weather),오늘은 날씨가 너무 더워서 밖에 오래 있기 힘들어요.,Today it is so hot that it is hard to stay outside for long.
춥다,to be cold,겨울에는 날씨가 추워서 따뜻한 옷을 꼭 입어야 합니다.,In winter it is cold so you must wear warm clothes.
따뜻하다,to be warm,햇빛이 좋아서 공기가 따뜻하게 느껴졌어요.,The sunlight was nice so the air felt warm.
시원하다,to be cool,바람이 불어서 생각보다 시원해서 기분이 좋았어요.,The wind made it cooler than expected so I felt good.
배고프다,to be hungry,아침을 못 먹어서 지금 너무 배고파요.,I couldn’t eat breakfast so I’m very hungry now.
배부르다,to be full,점심을 많이 먹어서 아직도 배가 부릅니다.,I ate a lot for lunch so I’m still full.
피곤하다,to be tired,어제 일을 늦게까지 해서 오늘은 많이 피곤합니다.,I worked late yesterday so I am very tired today.
아프다,to be sick/hurt,어제부터 목이 아파서 말을 많이 못 하고 있어요.,My throat has hurt since yesterday so I can’t talk much.
건강하다,to be healthy,규칙적으로 운동하면 몸이 더 건강해집니다.,If you exercise regularly your body becomes healthier.
바쁘다,to be busy,요즘 일이 많아서 하루 종일 바쁘게 지내고 있어요.,These days I am busy all day because of work.
한가하다,to be free,오늘은 일이 별로 없어서 비교적 한가한 편입니다.,Today I don’t have much work so I am relatively free.
중요하다,to be important,이 결정은 앞으로의 계획에 매우 중요합니다.,This decision is very important for future plans.
필요없다,to be unnecessary,이미 충분히 있어서 더 이상 필요없습니다.,I already have enough so I don’t need more.
가능하다,to be possible,시간만 있다면 충분히 가능한 일이라고 생각합니다.,I think it is possible if there is enough time.
불가능하다,to be impossible,지금 상황에서는 그것이 불가능할 수도 있습니다.,In the current situation it may be impossible.
비싸다,to be expensive,이 제품은 품질은 좋지만 가격이 너무 비쌉니다.,This product is good quality but too expensive.
싸다,to be cheap,이 가게는 가격이 싸서 자주 이용합니다.,This store is cheap so I use it often.
예쁘다,to be pretty,꽃이 예뻐서 사진을 찍고 싶어졌어요.,The flowers were pretty so I wanted to take a picture.
아름답다,to be beautiful,해 질 때 바다 풍경이 정말 아름다웠어요.,The ocean view at sunset was truly beautiful.
못생기다,to be ugly,그는 농담으로 자신이 못생겼다고 말했어요.,He joked that he was ugly.
귀엽다,to be cute,아기가 웃는 모습이 너무 귀여워서 계속 보게 됩니다.,The baby’s smile is so cute that I keep looking.
멋있다,to be cool,그는 자신의 일을 열정적으로 해서 정말 멋있어요.,He is really cool because he is passionate about his work.
재미있다,to be interesting,이 책은 내용이 흥미로워서 금방 다 읽었어요.,This book was interesting so I finished it quickly.
재미없다,to be boring,수업이 너무 지루해서 집중하기 어려웠어요.,The class was so boring that it was hard to focus.
행복하다,to be happy,가족과 함께 시간을 보내면 정말 행복합니다.,I feel truly happy when I spend time with family.
슬프다,to be sad,영화를 보고 나서 내용이 슬퍼서 눈물이 났어요.,After watching the movie I cried because it was sad.
화나다,to be angry,약속 시간을 지키지 않아서 조금 화가 났어요.,I got a bit angry because the appointment time wasn’t kept.
걱정하다,to worry,결과가 아직 안 나와서 계속 걱정하고 있습니다.,The result isn’t out yet so I keep worrying.
놀라다,to be surprised,예상하지 못한 소식에 많이 놀랐어요.,I was very surprised by the unexpected news.
무섭다,to be scary,밤에 혼자 걷다 보니 조금 무서웠어요.,Walking alone at night felt a bit scary.
부끄럽다,to be shy/embarrassed,사람들 앞에서 말하려니 조금 부끄러웠어요.,I felt shy speaking in front of people.
편하다,to be comfortable,이 의자는 오래 앉아 있어도 편합니다.,This chair is comfortable even after sitting long.
불편하다,to be uncomfortable,신발이 불편해서 오래 걷기 힘들었어요.,The shoes were uncomfortable so it was hard to walk long.
깨끗하다,to be clean,방을 청소해서 지금은 아주 깨끗합니다.,I cleaned the room so now it is very clean.
더럽다,to be dirty,손이 더러워서 먼저 씻고 올게요.,My hands are dirty so I’ll wash them first.
조용하다,to be quiet,이 도서관은 조용해서 공부하기 좋습니다.,This library is quiet so it’s good for studying.
시끄럽다,to be noisy,밖이 시끄러워서 창문을 닫았습니다.,It was noisy outside so I closed the window.
가깝다,to be near,회사와 집이 가까워서 출퇴근이 편합니다.,My workplace is near my home so commuting is easy.
멀다,to be far,학교가 멀어서 매일 일찍 나가야 합니다.,The school is far so I have to leave early every day.
같이,together,오늘은 친구와 같이 저녁을 먹으러 갈 예정입니다.,Today I plan to go eat dinner with a friend.
혼자,alone,가끔은 혼자 카페에 가서 조용히 시간을 보냅니다.,Sometimes I go to a cafe alone and spend quiet time.
그리고,and,저녁을 먹고 그리고 산책을 하러 나갔어요.,I ate dinner and then went out for a walk.
그래서,so,비가 많이 와서 그래서 외출을 하지 않았어요.,It rained a lot so I didn’t go out.
하지만,but,계획은 좋았지만 시간이 부족해서 못 했어요.,The plan was good but I didn’t have enough time.
또한,also,이 방법은 간단하고 또한 효과적입니다.,This method is simple and also effective.
아니,not,그는 학생이 아니고 회사원입니다.,He is not a student but an office worker.
네,yes,네 그렇게 하겠습니다 감사합니다.,Yes I will do that thank you.
아니요,no,아니요 아직 결정하지 않았습니다.,No I haven’t decided yet.
알겠습니다,understood,설명을 듣고 알겠습니다라고 답했습니다.,After hearing the explanation I replied that I understood.
괜찮다,to be okay,조금 늦어도 괜찮으니 천천히 오세요.,It’s okay to be a little late so come slowly.
문제,problem,문제가 생기면 바로 알려 주세요.,If a problem occurs please let me know immediately.
질문,question,수업이 끝난 후에 질문을 몇 가지 했어요.,I asked a few questions after class.
대답,answer,질문에 대한 대답을 천천히 설명해 주셨습니다.,They explained the answer to the question slowly.
이름,name,처음 만나면 서로 이름을 소개합니다.,When meeting for the first time we introduce our names.
나이,age,한국에서는 나이를 중요하게 생각하는 경우가 많습니다.,In Korea age is often considered important.
생일,birthday,생일에는 가족과 함께 식사를 했어요.,On my birthday I had a meal with my family.
주소,address,온라인 주문을 위해 주소를 정확히 입력했습니다.,I entered my address correctly for an online order.
전화,phone call,중요한 일이 있어서 직접 전화로 이야기했습니다.,It was important so I talked on the phone directly.
이메일,email,회의 내용을 정리해서 이메일로 보냈습니다.,I summarized the meeting and sent it by email.
회사,company,저는 작은 회사에서 다양한 일을 하고 있습니다.,I work at a small company doing various tasks.
직업,job,사람마다 원하는 직업이 다를 수 있습니다.,Each person may want a different job.
학생,student,그는 낮에는 학생이고 밤에는 일을 합니다.,He is a student during the day and works at night.
선생님,teacher,선생님께서 이해하기 쉽게 설명해 주셨습니다.,The teacher explained it in an easy way to understand.
의사,doctor,몸이 안 좋아서 병원에 가서 의사를 만났어요.,I felt unwell so I went to the hospital and saw a doctor.
경찰,police,길을 잃어서 경찰에게 도움을 요청했습니다.,I got lost so I asked the police for help.
가게,store,집 근처 가게에서 필요한 물건을 샀어요.,I bought what I needed at a nearby store.
시장,market,주말에 시장에 가면 신선한 음식을 살 수 있습니다.,You can buy fresh food at the market on weekends.
식당,restaurant,새로 생긴 식당에 가서 점심을 먹었습니다.,I went to a new restaurant and had lunch.
카페,cafe,조용한 카페에서 공부하는 것을 좋아합니다.,I like studying in a quiet cafe.
병원,hospital,아플 때는 병원에 가서 진료를 받는 것이 좋습니다.,When you are sick it is good to go to the hospital.
은행,bank,은행에 가서 계좌를 새로 만들었습니다.,I went to the bank and opened a new account.
공원,park,날씨가 좋아서 공원에서 시간을 보냈습니다.,The weather was nice so I spent time in the park.
도로,road,도로가 막혀서 약속 시간에 늦을 뻔했어요.,The road was congested so I was almost late.
길,street,길을 걷다가 우연히 친구를 만났어요.,I ran into a friend while walking on the street.
버스,bus,버스를 타고 학교까지 약 30분이 걸립니다.,It takes about 30 minutes by bus to school.
지하철,subway,출퇴근 시간에는 지하철이 매우 붐빕니다.,The subway is very crowded during rush hour.
택시,taxi,시간이 없어서 택시를 타고 이동했습니다.,I didn’t have time so I took a taxi.
기차,train,기차를 타고 다른 도시로 여행을 갔어요.,I traveled to another city by train.
비행기,airplane,비행기를 타고 해외로 여행하는 것을 좋아합니다.,I like traveling abroad by airplane.
표,ticket,여행을 가기 전에 미리 기차표를 예약해 두었습니다.,I reserved the train ticket in advance before traveling.
짐,luggage,여행을 준비하면서 짐이 생각보다 많아졌어요.,While preparing for the trip my luggage became more than expected.
여행,travel,이번 여름에는 친구들과 함께 여행을 갈 계획입니다.,This summer I plan to travel with friends.
호텔,hotel,바다가 보이는 호텔을 예약해서 기대가 됩니다.,I booked a hotel with an ocean view so I’m excited.
예약,reservation,인기가 많은 식당이라서 미리 예약을 해야 합니다.,It’s a popular restaurant so you need to reserve in advance.
방,room,호텔 방이 생각보다 넓고 깨끗해서 만족했습니다.,The hotel room was bigger and cleaner than expected.
열쇠,key,프런트에서 방 열쇠를 받아서 바로 올라갔어요.,I got the room key at the front desk and went up.
문,door,문을 열자마자 따뜻한 공기가 느껴졌습니다.,As soon as I opened the door I felt warm air.
창문,window,아침에 창문을 열고 신선한 공기를 마셨습니다.,I opened the window in the morning and breathed fresh air.
침대,bed,피곤해서 침대에 눕자마자 바로 잠이 들었어요.,I was so tired that I fell asleep right after lying down.
의자,chair,편한 의자에 앉아서 오랫동안 책을 읽었습니다.,I sat in a comfortable chair and read for a long time.
책상,desk,책상 위에 필요한 물건들을 정리해 두었습니다.,I organized the necessary items on the desk.
책,book,요즘 재미있는 책을 읽고 있어서 시간이 빨리 갑니다.,These days I am reading an interesting book so time flies.
노트,note,중요한 내용을 잊지 않기 위해 노트에 적어 두었어요.,I wrote it in my notebook so I wouldn’t forget.
펜,pen,펜이 없어서 친구에게 잠깐 빌렸습니다.,I didn’t have a pen so I borrowed one from a friend.
컴퓨터,computer,컴퓨터로 일을 하다 보니 시간이 금방 지나갔어요.,Time passed quickly while working on the computer.
전화기,telephone,중요한 연락을 받기 위해 전화기를 계속 확인했습니다.,I kept checking my phone to receive an important call.
인터넷,internet,인터넷이 느려서 작업을 하는 데 어려움이 있었습니다.,The internet was slow so I had difficulty working.
음식,food,이 식당의 음식은 맛도 좋고 가격도 합리적입니다.,The food at this restaurant is tasty and reasonably priced.
커피,coffee,아침마다 커피를 한 잔 마시는 것이 습관이 되었습니다.,Drinking a cup of coffee every morning has become a habit.
차,tea,따뜻한 차를 마시면서 하루를 마무리하는 것을 좋아합니다.,I like ending the day while drinking warm tea.
물건,thing/item,필요 없는 물건은 정리해서 버리려고 합니다.,I plan to get rid of unnecessary items.
옷,clothes,날씨에 맞게 옷을 입는 것이 중요합니다.,It is important to dress according to the weather.
신발,shoes,새로 산 신발이 조금 불편해서 적응 중입니다.,The new shoes are a bit uncomfortable so I’m adjusting.
가방,bag,가방 안에 필요한 물건을 미리 챙겨 두었습니다.,I packed the necessary items in my bag in advance.
돈,money,요즘은 현금보다 카드를 더 자주 사용합니다.,These days I use cards more than cash.
카드,card,결제할 때 카드를 사용하면 편리합니다.,It is convenient to use a card when paying.
영수증,receipt,나중에 필요할 수 있어서 영수증을 보관했습니다.,I kept the receipt in case I need it later.
가격,price,가격을 비교해 보고 더 좋은 선택을 했습니다.,I compared prices and made a better choice.
할인,discount,할인을 받아서 원래보다 저렴하게 샀어요.,I bought it cheaper thanks to a discount.
주문,order,음식을 주문하고 나오기를 기다리고 있습니다.,I ordered food and am waiting for it to come out.
요리,cooking,집에서 직접 요리하는 것을 점점 더 좋아하게 되었어요.,I’ve come to enjoy cooking at home more.
맛,flavor,이 음식은 맛이 좋아서 다시 먹고 싶어요.,This food tastes good so I want to eat it again.
소금,salt,조금 싱거워서 소금을 약간 더 넣었습니다.,It was a bit bland so I added some salt.
설탕,sugar,커피에 설탕을 넣지 않고 마시는 편입니다.,I usually drink coffee without sugar.
아침,breakfast,아침에는 가볍게 과일을 먹는 경우가 많습니다.,I often eat fruit lightly for breakfast.
점심,lunch,점심시간에 동료들과 함께 식사를 했습니다.,I had lunch with coworkers.
저녁,dinner,저녁에는 가족과 함께 시간을 보내려고 합니다.,I try to spend time with family in the evening.
하루,day,바쁜 하루였지만 많은 것을 배울 수 있었습니다.,It was a busy day but I learned a lot.
주,week,이번 주에는 해야 할 일이 많아서 바쁩니다.,I am busy this week because I have a lot to do.
달,month,한 달 동안 꾸준히 운동을 해 보려고 합니다.,I will try to exercise consistently for a month.
년,year,올해는 새로운 목표를 세우고 도전하고 있습니다.,This year I set new goals and am challenging myself.
아침에,in the morning,아침에 일찍 일어나서 하루를 시작합니다.,I wake up early in the morning to start my day.
저녁에,in the evening,저녁에 산책을 하면 기분이 좋아집니다.,Taking a walk in the evening makes me feel better.
주말,weekend,주말에는 보통 집에서 쉬거나 친구를 만납니다.,On weekends I rest at home or meet friends.
평일,weekday,평일에는 일이 많아서 바쁘게 지냅니다.,On weekdays I am busy with work.
보통,usually,저는 보통 아침에 커피를 마시면서 일을 시작합니다.,I usually start my work with coffee in the morning.
전혀,not at all,그 일에 대해서는 전혀 모르고 있었습니다.,I didn’t know about that at all.
정말,really,그 소식을 듣고 정말 기뻤습니다.,I was really happy to hear that news.
아주,very,오늘 날씨가 아주 좋아서 기분이 좋습니다.,The weather is very nice today so I feel good.
조금,a little,시간이 조금 부족해서 서둘러야 합니다.,We are a little short on time so we need to hurry.
많이,a lot,요즘은 새로운 것을 많이 배우고 있습니다.,These days I am learning a lot of new things.
더,more,더 좋은 결과를 위해 계속 노력하겠습니다.,I will keep trying for better results.
가장,most,이 방법이 가장 효과적인 것 같습니다.,This method seems the most effective.
잘,well,요즘은 일을 잘 처리하고 있어서 뿌듯합니다.,These days I am handling work well so I feel proud.
못,not well,어제는 피곤해서 일을 잘 못 했어요.,Yesterday I was tired so I couldn’t work well.
함께,together,모두 함께 노력하면 좋은 결과를 얻을 수 있습니다.,If everyone works together we can get good results.
먼저,first,먼저 해야 할 일을 정리하는 것이 중요합니다.,It is important to organize what to do first.
나중에,later,지금은 바쁘니까 이 이야기는 나중에 합시다.,I’m busy now so let’s talk about this later.
계속,continuously,목표를 이루기 위해 계속 노력하고 있습니다.,I continue to work toward my goal.
결국,finally/in the end,여러 번 고민한 끝에 결국 그 결정을 내렸습니다.,After much thought I finally made that decision.
특히,especially,이 도시는 특히 밤에 더 아름다운 것 같습니다.,This city is especially more beautiful at night.
아직도,still,그날의 기억이 아직도 생생하게 남아 있습니다.,The memory of that day is still vivid.
점점,gradually,날씨가 점점 더워지고 있어서 여름이 오는 것 같습니다.,The weather is gradually getting hotter so it feels like summer is coming.
바로,right away,문제를 발견하자마자 바로 수정했습니다.,I fixed it right away as soon as I found the problem.
아마,probably,내일은 비가 올 것 같아서 아마 우산이 필요할 거예요.,It will probably rain tomorrow so you may need an umbrella.
꼭,surely/must,기회가 있으면 꼭 다시 방문하고 싶습니다.,If I get the chance I definitely want to visit again.
이미지,image,이 사진은 그때의 분위기를 잘 보여주는 이미지입니다.,This photo is an image that shows the atmosphere well.
경험,experience,새로운 경험을 통해 많은 것을 배울 수 있었습니다.,I learned a lot through new experiences.
기억,memory,어린 시절의 기억이 아직도 마음에 남아 있습니다.,Memories from childhood still remain in my heart.
생각,thought,다른 사람의 생각을 이해하려고 노력하는 것이 중요합니다.,It is important to try to understand others’ thoughts.
의견,opinion,회의에서 다양한 의견이 나와서 도움이 되었습니다.,Various opinions came up in the meeting and it was helpful.
계획,plan,이번 달 계획을 미리 세워 두었습니다.,I made plans for this month in advance.
준비,preparation,시험을 위해 충분히 준비를 했다고 생각합니다.,I think I prepared enough for the exam.
결정,decision,중요한 결정이라서 신중하게 생각했습니다.,It was an important decision so I thought carefully.
선택,choice,여러 가지 선택 중에서 하나를 고르기가 어려웠어요.,It was hard to choose one among many options.
결과,result,노력한 만큼 좋은 결과를 얻어서 기쁩니다.,I am happy to get good results as much as I worked.
이유,reason,그렇게 생각한 이유를 자세히 설명해 주세요.,Please explain in detail the reason you think that.
방법,method,이 문제를 해결할 수 있는 방법을 찾았습니다.,I found a way to solve this problem.
문제점,problem point,이 계획에는 몇 가지 문제점이 있는 것 같습니다.,This plan seems to have some problems.
