word,translation,word_example,trans_example
输,lose,他们队输掉了比赛。,Their team lost the game.
休息,rest,午饭后我们休息半小时。,"After lunch, we rest for half an hour."
朋友,friend,我和朋友一起去逛街。,I go shopping with my friend.
同学,classmate,我的同学都很友好。,My classmates are very friendly.
老师好,hello teacher,上课前学生说：“老师好！”,Before class students say: 'Hello teacher!'
请回答,please answer,老师说：“请回答问题。”,The teacher said: 'Please answer the question.'
请看,please look,老师说：“请看黑板。”,The teacher said: 'Please look at the blackboard.'
请听,please listen,老师说：“请听我讲。”,The teacher said: 'Please listen to me.'
家,home,我周末常常回家。,I often go home on weekends.
爸爸,father,我的爸爸喜欢早上喝咖啡。,My father likes to drink coffee in the morning.
妈妈,mother,妈妈每天做晚饭。,Mom cooks dinner every day.
哥哥,older brother,我哥哥比我大三岁。,My older brother is three years older than me.
姐姐,older sister,姐姐正在学习钢琴。,My older sister is learning piano.
弟弟,younger brother,弟弟很喜欢踢足球。,My younger brother likes playing soccer.
妹妹,younger sister,妹妹正在画画。,My younger sister is painting.
家人,family,我和家人一起庆祝节日。,I celebrate holidays with my family.
父母,parents,我的父母都很关心我。,My parents both care about me a lot.
爷爷,grandfather,我爷爷教我下棋。,My grandfather teaches me to play chess.
奶奶,grandmother,奶奶做的饺子很好吃。,The dumplings my grandmother makes are delicious.
房子,house,我们搬进了一栋新房子。,We moved into a new house.
房间,room,我的房间很整洁。,My room is very tidy.
客厅,living room,客厅里有一张大沙发。,There is a big sofa in the living room.
厨房,kitchen,妈妈在厨房做饭。,Mom is cooking in the kitchen.
卧室,bedroom,卧室里有一张大床。,There is a big bed in the bedroom.
浴室,bathroom,浴室很干净。,The bathroom is very clean.
门,door,请把门关上。,Please close the door.
窗户,window,窗户打开了，空气很新鲜。,The window is open; the air is fresh.
沙发,sofa,我坐在沙发上看电视。,I sit on the sofa to watch TV.
桌子,table,我们在桌子上吃晚饭。,We eat dinner at the table.
椅子,chair,请坐在椅子上。,Please sit on the chair.
床,bed,我晚上十点上床睡觉。,I go to bed at 10 PM.
毯子,blanket,晚上我盖上毯子睡觉。,"At night, I cover myself with a blanket."
枕头,pillow,我的枕头很舒服。,My pillow is very comfortable.
灯,light/lamp,请把灯关掉。,Please turn off the light.
电视,television,晚上我们一起看电视。,In the evening we watch television together.
电话,telephone,我给朋友打电话。,I called my friend.
手机,cell phone,我每天用手机查信息。,I use my phone to check messages every day.
电脑,computer,我用电脑写作业。,I use the computer to do homework.
笔,pen,请用笔写下你的名字。,Please write your name with a pen.
纸,paper,老师给我们发了练习纸。,The teacher handed out exercise sheets.
衣服,clothes,今天我穿了一件蓝色的衣服。,Today I wore a blue shirt.
鞋,shoes,我买了一双新鞋。,I bought a new pair of shoes.
帽子,hat,太阳很大，请戴上帽子。,The sun is strong; please wear a hat.
包,bag,我把书放进包里。,I put the books into my bag.
钥匙,key,我忘记带钥匙了。,I forgot to bring my key.
钱,money,我存了一些钱在银行。,I saved some money in the bank.
钱包,wallet,请把钱包放在桌子上。,Please put your wallet on the table.
汽车,car,我爸爸开汽车去上班。,My dad drives a car to work.
自行车,bicycle,我骑自行车去学校。,I ride a bicycle to school.
公交车,bus,每天早上我坐公交车上班。,I take the bus to work every morning.
地铁,subway,我每天坐地铁去公司。,I take the subway to the office every day.
火车,train,我坐火车去上海。,I take the train to Shanghai.
飞机,plane,我们坐飞机去度假。,We take a plane to go on vacation.
船,boat,我们坐船去小岛玩。,We take a boat to go to the small island.
超市,supermarket,我去超市买水果。,I go to the supermarket to buy fruit.
市场,market,周末我们去市场买菜。,"On the weekend, we go to the market to buy vegetables."
吃,eat,我早上吃了一个三明治。,I ate a sandwich in the morning.
喝,drink,我喜欢喝热茶。,I like to drink hot tea.
饭,rice,我们今天吃了炒饭。,We ate fried rice today.
面条,noodles,我最喜欢吃炒面条。,My favorite food is stir-fried noodles.
饺子,dumplings,妈妈做的饺子很好吃。,The dumplings my mom makes are delicious.
包子,steamed bun,我早餐吃了两个包子。,I ate two steamed buns for breakfast.
米饭,steamed rice,晚餐我吃了米饭和菜。,"For dinner, I ate rice and vegetables."
水果,fruit,我喜欢吃苹果和香蕉。,I like to eat apples and bananas.
苹果,apple,我每天吃一个苹果。,I eat an apple every day.
香蕉,banana,她喜欢吃香蕉。,She likes to eat bananas.
橙子,orange,我喜欢喝橙汁。,I like to drink orange juice.
西瓜,watermelon,夏天我喜欢吃西瓜。,I like to eat watermelon in the summer.
葡萄,grapes,他给我买了一些葡萄。,He bought me some grapes.
蔬菜,vegetables,我每天都吃很多蔬菜。,I eat a lot of vegetables every day.
土豆,potato,我们吃土豆炖牛肉。,We ate stewed beef with potatoes.
鸡肉,chicken,今天中午我吃了鸡肉。,I ate chicken for lunch today.
牛肉,beef,我最喜欢吃牛肉火锅。,My favorite food is beef hotpot.
猪肉,pork,这道菜是用猪肉做的。,This dish is made with pork.
鱼,fish,我喜欢吃鱼和米饭。,I like to eat fish and rice.
海鲜,seafood,我喜欢吃海鲜，尤其是螃蟹。,"I like to eat seafood, especially crabs."
蛋,egg,我早餐通常吃鸡蛋。,I usually eat eggs for breakfast.
牛奶,milk,我每天喝一杯牛奶。,I drink a glass of milk every day.
果汁,juice,他喜欢喝橙汁和苹果汁。,He likes to drink orange juice and apple juice.
茶,tea,我每天喝几杯茶。,I drink several cups of tea every day.
咖啡,coffee,我早上喝咖啡提神。,I drink coffee in the morning to wake up.
水,water,每天喝足够的水对身体很好。,It’s good for your body to drink enough water every day.
甜点,dessert,晚饭后我们吃了巧克力甜点。,We had chocolate dessert after dinner.
蛋糕,cake,生日聚会上有一个大蛋糕。,There was a big cake at the birthday party.
巧克力,chocolate,我喜欢吃黑巧克力。,I like to eat dark chocolate.
糖,candy,我吃了很多糖，牙齿有点疼。,"I ate a lot of candy, and my teeth hurt a little."
饼干,cookie,我下午茶的时候吃了饼干。,I ate cookies during my afternoon tea.
面包,bread,早餐我吃了面包和果酱。,I ate bread and jam for breakfast.
沙拉,salad,我午餐吃了一个蔬菜沙拉。,I ate a vegetable salad for lunch.
汉堡包,burger,我最喜欢吃汉堡包。,My favorite food is a hamburger.
比萨,pizza,今天晚上我们订了比萨。,We ordered pizza for dinner tonight.
饮料,drink,你喜欢喝什么饮料？,What drink do you like to have?
餐厅,restaurant,我们周末去餐厅吃晚餐。,We go to a restaurant for dinner on weekends.
菜单,menu,请给我菜单。,Please give me the menu.
点菜,order food,我们已经点菜了。,We have already ordered the food.
买,buy,我去超市买菜。,I’m going to the supermarket to buy vegetables.
卖,sell,这家店卖新鲜水果。,This shop sells fresh fruit.
购物,shopping,今天下午我和朋友一起去购物。,This afternoon I went shopping with my friend.
付钱,pay,我已经付了钱。,I’ve already paid.
收据,receipt,请给我收据。,Please give me the receipt.
便宜,cheap,这个包包很便宜。,This bag is very cheap.
贵,expensive,那件衣服太贵了。,That piece of clothing is too expensive.
打折,discount,这双鞋现在打折。,These shoes are on sale now.
高兴, happy,今天我很高兴，因为我通过了考试。,I’m very happy today because I passed the exam.
生气,angry,他生气了，因为有人打扰了他。,He got angry because someone interrupted him.
难过,sad,她听到坏消息后很难过。,She was very sad after hearing the bad news.
紧张,nervous,我在考试前很紧张。,I was nervous before the exam.
害怕,afraid,小孩子害怕黑暗。,The child is afraid of the dark.
担心,worried,我担心明天会下雨。,I’m worried that it will rain tomorrow.
激动,excited,我非常激动，因为我将去旅行。,I’m very excited because I’m going to travel.
惊讶,surprised,我看到他时感到非常惊讶。,I was very surprised when I saw him.
高, tall,他个子很高。,He is very tall.
矮, short,我比他矮。,I am shorter than him.
胖, fat,那只狗很胖。,That dog is very fat.
瘦, thin,她非常瘦，像个模特。,"She is very thin, like a model."
美丽, beautiful,这个花园非常美丽。,This garden is very beautiful.
漂亮, pretty,她是一个很漂亮的女孩。,She is a very pretty girl.
帅, handsome,他是一个帅气的男孩。,He is a handsome boy.
好看, good-looking,那部电影很好看。,That movie is very good-looking.
聪明, smart,他是一个聪明的学生。,He is a smart student.
有趣, interesting,这本书很有趣。,This book is very interesting.
无聊, boring,这部电影很无聊。,This movie is boring.
重要, important,今天的会议非常重要。,Today’s meeting is very important.
容易, easy,这道题很容易。,This question is very easy.
困难, difficult,学习汉语有点困难。,Learning Chinese is a bit difficult.
慢, slow,他的跑步速度很慢。,His running speed is very slow.
快, fast,他跑得非常快。,He runs very fast.
开心, happy,她很开心，收到了一份生日礼物。,She is very happy to receive a birthday gift.
忙, busy,我今天很忙，没时间休息。,I’m very busy today and don’t have time to rest.
累, tired,我跑了十公里，所以现在很累。,"I ran 10 kilometers, so now I’m very tired."
饿, hungry,我饿了，想吃点东西。,I’m hungry and want to eat something.
渴, thirsty,我渴了，能给我一杯水吗？,I’m thirsty. Can you give me a glass of water?
困, sleepy,今天晚上我很困，想早点睡。,I’m very sleepy tonight and want to go to bed early.
健康, healthy,每天运动可以保持身体健康。,Exercising every day can keep you healthy.
生病, sick,我生病了，不能去上班。,I’m sick and can’t go to work.
乐观, optimistic,她是个很乐观的人，总是笑。,She is an optimistic person and always smiles.
悲伤, sad,他听到这个消息后很悲伤。,He was very sad after hearing the news.
感动, touched,她的故事让我非常感动。,Her story really touched me.
自信, confident,他很自信，讲话总是很有说服力。,He is very confident and his speeches are always persuasive.
理解, understand,我能理解你的感受。,I can understand your feelings.
冷静, calm,遇到困难时，我要保持冷静。,I need to stay calm when facing difficulties.
温暖, warm,这条毯子非常温暖。,This blanket is very warm.
有用, useful,这个词典非常有用。,This dictionary is very useful.
热, hot,今天的天气非常热。,Today the weather is very hot.
冷, cold,冬天的时候，外面很冷。,It’s very cold outside in winter.
清楚, clear,我不太清楚这个问题的答案。,I’m not clear about the answer to this question.
复杂, complicated,这个问题很复杂，需要仔细思考。,This problem is complicated and needs careful thought.
简单, simple,这道题很简单，我马上就能解答。,"This question is very simple, I can solve it right away."
有意思, interesting,他的讲解非常有意思。,His explanation was very interesting.
美味, delicious,这道菜非常美味。,This dish is very delicious.
不好, bad,他的行为不好，我们应该改正。,"His behavior is bad, we should correct it."
走,walk,我每天早上走路去上班。,I walk to work every morning.
跑,run,我们每天都在公园跑步。,We run in the park every day.
跳, jump,孩子们喜欢在操场上跳。,The children like to jump on the playground.
骑,ride,我骑自行车去学校。,I ride a bicycle to school.
开, drive,他每天开车去公司。,He drives to the office every day.
坐,take (transportation),我坐公交车去学校。,I take the bus to school.
坐飞机,take a plane,我打算明年坐飞机去美国。,I plan to take a plane to the U.S. next year.
飞,fly,飞机很快，两个小时就能飞到北京。,"The plane is fast, it takes only two hours to fly to Beijing."
到,arrive,我早上七点到公司。,I arrive at the office at 7 a.m.
离开,leave,我明天早上八点离开家。,I will leave home at 8 a.m. tomorrow.
进入,enter,请进入教室开始上课。,Please enter the classroom and start the lesson.
出去,go out,今天下午我和朋友一起出去。,This afternoon I’m going out with my friends.
进来,come in,老师请我们进来上课。,The teacher asked us to come in and start the lesson.
停,stop,车停在红绿灯前。,The car stopped at the traffic light.
开车,drive a car,他开车去参加会议。,He drove to the meeting.
走路,walk on foot,我喜欢走路去超市。,I like walking to the supermarket.
跨越,cross,我跨越了很多山丘。,I crossed many hills.
旅行,travel,我每年都去不同的地方旅行。,I travel to different places every year.
到达,arrive,我们下午三点到达目的地。,We will arrive at the destination at 3 p.m.
前往,go to,我明天前往上海出差。,I’m going to Shanghai on a business trip tomorrow.
通过,pass,我们通过了一个很长的隧道。,We passed through a long tunnel.
回去,go back,我今天不回家，明天再回去。,"I won’t go home today, I’ll go back tomorrow."
停留,stay,我们在北京停留了三天。,We stayed in Beijing for three days.
穿过,cross,我穿过马路去买东西。,I cross the street to buy things.
拜访,visit,我去拜访我的朋友。,I’m going to visit my friend.
来,come,他今天来我的办公室了。,He came to my office today.
去,go,我们去公园散步。,We go for a walk in the park.
上车,get on the vehicle,我们赶紧上车，否则会迟到。,Let’s get on the vehicle quickly or we’ll be late.
下车,get off the vehicle,我们在下一站下车。,We get off at the next station.
走到,walk to,我走到超市买东西。,I walk to the supermarket to buy things.
路,road,我们走了很长的路。,We walked a long road.
街,street,这条街很热闹。,This street is very lively.
桥,bridge,我们走过了这座桥。,We walked across this bridge.
山,mountain,我喜欢爬山。,I like hiking in the mountains.
海,sea,夏天我常常去海边游泳。,I often swim at the beach in the summer.
湖,lake,湖边的景色非常美。,The scenery by the lake is very beautiful.
岛,island,我计划去一个热带岛屿度假。,I plan to go to a tropical island for vacation.
公园,park,我们在公园散步。,We are walking in the park.
广场,square,市中心有一个大广场。,There is a big square in the city center.
博物馆,museum,我喜欢去博物馆看展览。,I like going to museums to see exhibitions.
商店,store,我们去商店买东西。,We go to the store to buy things.
医院,hospital,我去医院看医生。,I went to the hospital to see a doctor.
银行,bank,我去银行取钱。,I went to the bank to withdraw money.
邮局,post office,我去邮局寄信。,I went to the post office to send a letter.
饭店,restaurant,我们在饭店里吃晚餐。,We ate dinner at the restaurant.
咖啡馆,cafe,我喜欢在咖啡馆喝咖啡。,I like drinking coffee at the cafe.
今天,today,今天是我的生日。,Today is my birthday.
明天,tomorrow,明天我们要去爬山。,Tomorrow we are going hiking.
昨天,yesterday,昨天我去了电影院。,Yesterday I went to the cinema.
早上,morning,我每天早上六点起床。,I wake up at 6 AM every morning.
中午,noon,我们中午一起吃饭。,We have lunch together at noon.
晚上,evening,晚上我喜欢去散步。,I like to go for a walk in the evening.
早,early,我今天早上起得很早。,I woke up very early this morning.
晚,late,他今天上班迟到了。,He was late for work today.
小时, hour,我们工作了八小时。,We worked for eight hours.
分钟,minute,我会在十分钟内到达。,I will arrive in ten minutes.
秒,second,他跑步的速度非常快，每秒都在加速。,"His running speed is very fast, and he is accelerating every second."
一月,January,一月是冬天的第一月。,January is the first month of winter.
二月,February,二月是最冷的月份之一。,February is one of the coldest months.
三月,March,三月春天来了，花儿开了。,"In March, spring comes, and the flowers bloom."
四月,April,四月是春天的好时光。,April is a great time for spring.
五月,May,五月是劳动节的月份。,May is the month of Labor Day.
六月,June,六月我们去度假。,We are going on vacation in June.
七月,July,七月天气很热。,It’s very hot in July.
八月,August,八月我们会去海边。,We will go to the beach in August.
九月,September,九月是秋天的开始。,September is the beginning of autumn.
十月,October,十月有很多节日。,There are many holidays in October.
十一月,November,十一月天气逐渐变冷。,The weather gets colder in November.
十二月,December,十二月是冬天最冷的时节。,December is the coldest time of winter.
星期一,Monday,星期一我有一整天的会议。,I have meetings all day on Monday.
星期二,Tuesday,星期二我们去看电影。,We are going to watch a movie on Tuesday.
星期三,Wednesday,星期三我和朋友一起去爬山。,I’m going hiking with my friends on Wednesday.
星期四,Thursday,星期四我要开会。,I have a meeting on Thursday.
星期五,Friday,星期五晚上我和家人一起吃晚餐。,"On Friday evening, I have dinner with my family."
星期六,Saturday,星期六我们去购物。,On Saturday we go shopping.
星期天,Sunday,星期天我常常去公园散步。,On Sunday I often go for a walk in the park.
春天,spring,春天是最喜欢的季节。,Spring is my favorite season.
夏天,summer,夏天我们去海边度假。,In summer we go to the beach for vacation.
秋天,autumn,秋天是收获的季节。,Autumn is the season of harvest.
冬天,winter,冬天我喜欢滑雪。,I like skiing in winter.
晴天,sunny day,今天是一个晴天。,Today is a sunny day.
阴天,cloudy day,今天是阴天，我们可能会下雨。,"Today is a cloudy day, it might rain."
雨天,rainy day,下雨天我们待在家里。,"On rainy days, we stay at home."
雪,snow,冬天下雪了，我们去玩雪。,"It’s snowing in the winter, and we go play in the snow."
风,wind,今天有点风，适合去放风筝。,"It’s a bit windy today, perfect for flying kites."
湿,humid,今天很湿，空气中有很多水分。,Today is very humid; there is a lot of moisture in the air.
凉爽,cool,秋天的天气很凉爽。,The weather in autumn is cool.
干燥,dry,这里的天气非常干燥。,The weather here is very dry.
潮湿,moist,这个地方潮湿，适合种植物。,This place is moist and suitable for planting.
雷阵雨,thunderstorm,明天下雨，还有雷阵雨。,Tomorrow it will rain with thunderstorms.
雾,fog,早上有雾，开车要小心。,"There is fog in the morning, be careful when driving."
身体,body,保持身体健康很重要。,It’s important to keep your body healthy.
头,head,我今天早上头痛。,I have a headache this morning.
眼睛,eyes,我眼睛有点疲劳。,My eyes are a bit tired.
耳朵,ears,我耳朵听不太清楚。,I can’t hear very clearly with my ears.
鼻子,nose,我的鼻子很通畅。,My nose is very clear.
嘴巴,mouth,他张开嘴巴笑了。,He smiled with his mouth open.
牙齿,teeth,我每天刷牙两次。,I brush my teeth twice a day.
脖子,neck,我的脖子有点酸。,My neck is a little sore.
肩膀,shoulder,我肩膀很累，可能是昨天搬东西。,"My shoulder is tired, maybe from lifting things yesterday."
手,hand,我右手受伤了。,My right hand is injured.
脚,foot,我的脚痛，走不了太远。,"My foot hurts, I can't walk too far."
背部,back,我的背部很紧张，需要放松。,My back is very tense and needs to relax.
心脏,heart,保持心脏健康非常重要。,It’s very important to keep your heart healthy.
胃,stomach,我胃不舒服，可能是吃了不干净的东西。,"My stomach feels uncomfortable, maybe I ate something unclean."
肚子,belly,我肚子饿了。,I’m hungry.
腿,leg,我跑步时扭伤了腿。,I sprained my leg while running.
手指,finger,我把手指划伤了。,I cut my finger.
脚趾,toe,我的脚趾被东西压伤了。,My toe was injured by something.
膝盖,knee,我膝盖不太好，走路很慢。,"My knee isn’t very good, so I walk slowly."
胃痛,stomachache,我昨天吃坏了肚子，今天胃痛。,"I ate something bad yesterday, and my stomach hurts today."
头痛,headache,我有点头痛，需要休息。,I have a bit of a headache and need to rest.
咳嗽,cough,我最近一直在咳嗽。,I’ve been coughing a lot recently.
感冒,catch a cold,我感冒了，今天不能去上班。,I caught a cold and can’t go to work today.
发烧,fever,他发烧了，需要看医生。,He has a fever and needs to see a doctor.
流感,flu,我得了流感，正在休息。,I have the flu and I’m resting.
过敏,allergy,我对花粉过敏。,I’m allergic to pollen.
疼,pain,我的背疼得很厉害。,My back hurts a lot.
吃药,take medicine,医生说我需要吃药。,The doctor said I need to take medicine.
药,medicine,我买了些药来治感冒。,I bought some medicine to treat my cold.
医生,doctor,我明天去看医生。,I’m going to see the doctor tomorrow.
护士,nurse,护士帮我量了体温。,The nurse took my temperature.
病人,patient,病人在医院里等待治疗。,The patient is waiting for treatment in the hospital.
治疗,treatment,他正在接受治疗。,He is receiving treatment.
手术,surgery,他需要做手术来治疗膝盖。,He needs surgery to treat his knee.
恢复,recover,他生病后正在恢复中。,He is recovering after being sick.
打针,get an injection,我不喜欢打针。,I don’t like getting injections.
检查,check-up,我去做了身体检查。,I went for a health check-up.
健康检查,health checkup,每年我都会做一次健康检查。,I have a health checkup once a year.
营养,nutrition,保持营养均衡很重要。,It’s important to maintain balanced nutrition.
饮食,diet,保持良好的饮食习惯能保持健康。,Maintaining a good diet can keep you healthy.
体重,weight,我在控制我的体重。,I’m controlling my weight.
卡路里,calories,这个食物的卡路里很高。,This food is very high in calories.
健身,fitness,我每周去健身房三次。,I go to the gym three times a week.
人民币,renminbi,在中国我们使用人民币。,"In China, we use renminbi."
美元,dollar,这件衣服的价格是五十美元。,The price of this dress is fifty dollars.
欧元,euro,我去欧洲旅游时，换了很多欧元。,"When I traveled to Europe, I exchanged a lot of euros."
零钱,change,我只带了现金，需要找零钱。,I only brought cash and need change.
现金,cash,我们不接受现金支付。,We don’t accept cash payments.
信用卡,credit card,我用信用卡买了这件衣服。,I bought this shirt with my credit card.
借记卡,debit card,我可以用借记卡付款吗？,Can I pay with a debit card?
支付,pay,我已经支付了账单。,I have already paid the bill.
账单,bill,服务员给我们带来了账单。,The waiter brought us the bill.
价格,price,这家店的价格很合理。,The prices in this shop are very reasonable.
折扣,discount,今天的衣服有20%的折扣。,The clothes are 20% off today.
促销,promotion,这家店正在做促销活动。,This store is having a promotion.
退货,return,这件衣服不合适，我要退货。,"This shirt doesn’t fit, I want to return it."
换货,exchange,我想把这个换成另一个颜色。,I want to exchange this for another color.
发票,invoice,我需要一张发票。,I need an invoice.
购物车,shopping cart,我把所有东西都放进了购物车。,I put everything into the shopping cart.
购物袋,shopping bag,你需要购物袋吗？,Do you need a shopping bag?
打包,pack,请帮我把这些衣服打包。,Please help me pack these clothes.
现金支付,paid in cash,我选择现金支付。,I choose to pay in cash.
刷卡,swipe the card,我用卡刷了账单。,I swiped the card for the bill.
收银员, cashier,收银员帮我扫描了商品。,The cashier scanned the items for me.
买单, pay the bill,我们准备好买单了。,We’re ready to pay the bill.
现金券,cash voucher,商店给我发了一张现金券。,The store gave me a cash voucher.
优惠券,coupon,我有一张五元的优惠券。,I have a five yuan coupon.
消费,consume,今天的消费总额是五百元。,The total consumption today is 500 yuan.
价格标签, price tag,我没看到这件衣服的价格标签。,I didn’t see the price tag on this shirt.
付款, payment,我已经完成付款。,I have completed the payment.
刷卡机,card machine,请把卡插进刷卡机。,Please insert your card into the card machine.
旅行团,tour group,我们加入了一个旅行团，去了很多地方。,We joined a tour group and visited many places.
机票,plane ticket,我已经买了去北京的机票。,I have already bought a plane ticket to Beijing.
火车票,train ticket,请给我两张到上海的火车票。,Please give me two train tickets to Shanghai.
汽车票,bus ticket,我们需要买去机场的汽车票。,We need to buy bus tickets to the airport.
护照,passport,在机场，我必须出示护照。,"At the airport, I must show my passport."
签证,visa,我申请了去美国的签证。,I applied for a visa to the U.S.
海关,customs,过海关时，我们需要检查行李。,We need to check our luggage when we go through customs.
机场,airport,我们的航班是从这个机场出发的。,Our flight departs from this airport.
登机,boarding,登机时间是下午两点。,The boarding time is at 2 p.m.
登机口,boarding gate,登机口在A区。,The boarding gate is in Zone A.
飞机场,airport,飞机场的安检很严格。,The security check at the airport is very strict.
行李,luggage,我有两件行李。,I have two pieces of luggage.
行李箱,suitcase,我把衣服放进了行李箱。,I put my clothes into the suitcase.
旅馆,hotel,我们住在一家五星级旅馆。,We are staying in a five-star hotel.
宾馆,guesthouse,这家宾馆很便宜。,This guesthouse is very cheap.
预订,book (reservation),我已经预订了酒店房间。,I have already booked the hotel room.
入住,check in,我们下午三点可以入住。,We can check in at 3 p.m.
退房,check out,我们明天中午退房。,We check out tomorrow afternoon.
单人间,single room,我需要一个单人间。,I need a single room.
双人间,double room,我们预订了一个双人间。,We booked a double room.
套房,suite,我喜欢住套房，因为很宽敞。,I like staying in a suite because it’s very spacious.
